name, in, out
Add_218, inception_4b/1x1/bn/sc_internal_1 OC2_DUMMY_59 inception_4a/output_1, inception_4a/output_1 inception_4b/1x1/bn/sc_1
Relu_219, inception_4b/1x1/bn/sc_1 inception_4a/output_1, inception_4a/output_1 inception_4b/1x1/bn/sc_2
Conv_220, inception_4b/1x1/bn/sc_2 inception_4a/output_1, inception_4b/3x3_reduce_1 inception_4a/output_1 inception_4b/1x1/bn/sc_2
BatchNormalization_221, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/3x3_reduce_1, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/3x3_reduce/bn_1
Unsqueeze_222, inception_4b/1x1/bn/sc_2 inception_4b/3x3_reduce/bn_1 inception_4a/output_1, inception_4a/output_1 OC2_DUMMY_60 inception_4b/1x1/bn/sc_2 inception_4b/3x3_reduce/bn_1
Mul_223, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/3x3_reduce/bn_1 OC2_DUMMY_60, inception_4a/output_1 inception_4b/3x3_reduce/bn/sc_internal_1 inception_4b/1x1/bn/sc_2
Unsqueeze_224, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/3x3_reduce/bn/sc_internal_1, OC2_DUMMY_61 inception_4b/3x3_reduce/bn/sc_internal_1 inception_4a/output_1 inception_4b/1x1/bn/sc_2
Add_225, inception_4b/1x1/bn/sc_2 inception_4a/output_1 OC2_DUMMY_61 inception_4b/3x3_reduce/bn/sc_internal_1, inception_4b/1x1/bn/sc_2 inception_4b/3x3_reduce/bn/sc_1 inception_4a/output_1
Relu_226, inception_4b/3x3_reduce/bn/sc_1 inception_4a/output_1 inception_4b/1x1/bn/sc_2, inception_4b/3x3_reduce/bn/sc_2 inception_4b/1x1/bn/sc_2 inception_4a/output_1
Conv_227, inception_4a/output_1 inception_4b/3x3_reduce/bn/sc_2 inception_4b/1x1/bn/sc_2, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/3x3_1
BatchNormalization_228, inception_4b/3x3_1 inception_4b/1x1/bn/sc_2 inception_4a/output_1, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn_1
Unsqueeze_229, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn_1, inception_4a/output_1 inception_4b/1x1/bn/sc_2 OC2_DUMMY_62 inception_4b/3x3/bn_1
Mul_230, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn_1 OC2_DUMMY_62, inception_4b/3x3/bn/sc_internal_1 inception_4a/output_1 inception_4b/1x1/bn/sc_2
Unsqueeze_231, inception_4a/output_1 inception_4b/3x3/bn/sc_internal_1 inception_4b/1x1/bn/sc_2, inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_internal_1 inception_4a/output_1 OC2_DUMMY_63
Add_232, inception_4b/3x3/bn/sc_internal_1 OC2_DUMMY_63 inception_4a/output_1 inception_4b/1x1/bn/sc_2, inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_1 inception_4a/output_1
Relu_233, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_1, inception_4a/output_1 inception_4b/3x3/bn/sc_2 inception_4b/1x1/bn/sc_2
Conv_234, inception_4a/output_1 inception_4b/3x3/bn/sc_2 inception_4b/1x1/bn/sc_2, inception_4b/3x3/bn/sc_2 inception_4b/double3x3_reduce_1 inception_4b/1x1/bn/sc_2 inception_4a/output_1
BatchNormalization_235, inception_4b/1x1/bn/sc_2 inception_4b/double3x3_reduce_1 inception_4b/3x3/bn/sc_2 inception_4a/output_1, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/double3x3_reduce/bn_1 inception_4b/3x3/bn/sc_2
Unsqueeze_236, inception_4b/double3x3_reduce/bn_1 inception_4b/1x1/bn/sc_2 inception_4a/output_1 inception_4b/3x3/bn/sc_2, inception_4a/output_1 inception_4b/double3x3_reduce/bn_1 inception_4b/3x3/bn/sc_2 OC2_DUMMY_64 inception_4b/1x1/bn/sc_2
Mul_237, inception_4b/3x3/bn/sc_2 inception_4b/double3x3_reduce/bn_1 OC2_DUMMY_64 inception_4b/1x1/bn/sc_2 inception_4a/output_1, inception_4b/double3x3_reduce/bn/sc_internal_1 inception_4b/1x1/bn/sc_2 inception_4a/output_1 inception_4b/3x3/bn/sc_2
Unsqueeze_238, inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4b/double3x3_reduce/bn/sc_internal_1 inception_4a/output_1, OC2_DUMMY_65 inception_4b/1x1/bn/sc_2 inception_4b/double3x3_reduce/bn/sc_internal_1 inception_4a/output_1 inception_4b/3x3/bn/sc_2
Add_239, inception_4b/3x3/bn/sc_2 OC2_DUMMY_65 inception_4b/double3x3_reduce/bn/sc_internal_1 inception_4a/output_1 inception_4b/1x1/bn/sc_2, inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4b/double3x3_reduce/bn/sc_1 inception_4a/output_1
Relu_240, inception_4b/double3x3_reduce/bn/sc_1 inception_4b/3x3/bn/sc_2 inception_4b/1x1/bn/sc_2 inception_4a/output_1, inception_4b/double3x3_reduce/bn/sc_2 inception_4b/1x1/bn/sc_2 inception_4a/output_1 inception_4b/3x3/bn/sc_2
Conv_241, inception_4b/3x3/bn/sc_2 inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/double3x3_reduce/bn/sc_2, inception_4a/output_1 inception_4b/double3x3a_1 inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2
BatchNormalization_242, inception_4b/3x3/bn/sc_2 inception_4b/double3x3a_1 inception_4b/1x1/bn/sc_2 inception_4a/output_1, inception_4b/3x3/bn/sc_2 inception_4b/double3x3a/bn_1 inception_4a/output_1 inception_4b/1x1/bn/sc_2
Unsqueeze_243, inception_4b/double3x3a/bn_1 inception_4a/output_1 inception_4b/3x3/bn/sc_2 inception_4b/1x1/bn/sc_2, inception_4b/3x3/bn/sc_2 OC2_DUMMY_66 inception_4b/1x1/bn/sc_2 inception_4b/double3x3a/bn_1 inception_4a/output_1
Mul_244, inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4a/output_1 inception_4b/double3x3a/bn_1 OC2_DUMMY_66, inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4b/double3x3a/bn/sc_internal_1 inception_4a/output_1
Unsqueeze_245, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/double3x3a/bn/sc_internal_1 inception_4b/3x3/bn/sc_2, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 OC2_DUMMY_67 inception_4b/double3x3a/bn/sc_internal_1
Add_246, inception_4b/double3x3a/bn/sc_internal_1 inception_4b/1x1/bn/sc_2 OC2_DUMMY_67 inception_4a/output_1 inception_4b/3x3/bn/sc_2, inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4b/double3x3a/bn/sc_1 inception_4a/output_1
Relu_247, inception_4b/double3x3a/bn/sc_1 inception_4b/3x3/bn/sc_2 inception_4a/output_1 inception_4b/1x1/bn/sc_2, inception_4b/1x1/bn/sc_2 inception_4b/double3x3a/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4a/output_1
Conv_248, inception_4a/output_1 inception_4b/double3x3a/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4b/1x1/bn/sc_2, inception_4b/double3x3b_1 inception_4b/3x3/bn/sc_2 inception_4b/1x1/bn/sc_2 inception_4a/output_1
BatchNormalization_249, inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/double3x3b_1 inception_4b/3x3/bn/sc_2, inception_4b/double3x3b/bn_1 inception_4b/3x3/bn/sc_2 inception_4b/1x1/bn/sc_2 inception_4a/output_1
Unsqueeze_250, inception_4b/3x3/bn/sc_2 inception_4b/double3x3b/bn_1 inception_4b/1x1/bn/sc_2 inception_4a/output_1, inception_4b/3x3/bn/sc_2 OC2_DUMMY_68 inception_4b/double3x3b/bn_1 inception_4b/1x1/bn/sc_2 inception_4a/output_1
Mul_251, OC2_DUMMY_68 inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4b/double3x3b/bn_1 inception_4a/output_1, inception_4b/3x3/bn/sc_2 inception_4a/output_1 inception_4b/1x1/bn/sc_2 inception_4b/double3x3b/bn/sc_internal_1
Unsqueeze_252, inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4a/output_1 inception_4b/double3x3b/bn/sc_internal_1, inception_4b/1x1/bn/sc_2 inception_4b/double3x3b/bn/sc_internal_1 inception_4a/output_1 inception_4b/3x3/bn/sc_2 OC2_DUMMY_69
Add_253, inception_4a/output_1 OC2_DUMMY_69 inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4b/double3x3b/bn/sc_internal_1, inception_4a/output_1 inception_4b/3x3/bn/sc_2 inception_4b/double3x3b/bn/sc_1 inception_4b/1x1/bn/sc_2
Relu_254, inception_4a/output_1 inception_4b/3x3/bn/sc_2 inception_4b/1x1/bn/sc_2 inception_4b/double3x3b/bn/sc_1, inception_4b/double3x3b/bn/sc_2 inception_4b/1x1/bn/sc_2 inception_4a/output_1 inception_4b/3x3/bn/sc_2
AveragePool_255, inception_4b/1x1/bn/sc_2 inception_4a/output_1 inception_4b/double3x3b/bn/sc_2 inception_4b/3x3/bn/sc_2, inception_4b/double3x3b/bn/sc_2 inception_4b/1x1/bn/sc_2 inception_4b/pool_1 inception_4b/3x3/bn/sc_2
Conv_256, inception_4b/double3x3b/bn/sc_2 inception_4b/1x1/bn/sc_2 inception_4b/pool_1 inception_4b/3x3/bn/sc_2, inception_4b/3x3/bn/sc_2 inception_4b/double3x3b/bn/sc_2 inception_4b/1x1/bn/sc_2 inception_4b/pool_proj_1
BatchNormalization_257, inception_4b/1x1/bn/sc_2 inception_4b/pool_proj_1 inception_4b/double3x3b/bn/sc_2 inception_4b/3x3/bn/sc_2, inception_4b/double3x3b/bn/sc_2 inception_4b/pool_proj/bn_1 inception_4b/3x3/bn/sc_2 inception_4b/1x1/bn/sc_2
Unsqueeze_258, inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4b/double3x3b/bn/sc_2 inception_4b/pool_proj/bn_1, OC2_DUMMY_70 inception_4b/3x3/bn/sc_2 inception_4b/double3x3b/bn/sc_2 inception_4b/pool_proj/bn_1 inception_4b/1x1/bn/sc_2
Mul_259, inception_4b/pool_proj/bn_1 inception_4b/double3x3b/bn/sc_2 inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 OC2_DUMMY_70, inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4b/pool_proj/bn/sc_internal_1 inception_4b/double3x3b/bn/sc_2
Unsqueeze_260, inception_4b/3x3/bn/sc_2 inception_4b/pool_proj/bn/sc_internal_1 inception_4b/double3x3b/bn/sc_2 inception_4b/1x1/bn/sc_2, inception_4b/double3x3b/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4b/pool_proj/bn/sc_internal_1 inception_4b/1x1/bn/sc_2 OC2_DUMMY_71
Add_261, inception_4b/double3x3b/bn/sc_2 OC2_DUMMY_71 inception_4b/1x1/bn/sc_2 inception_4b/3x3/bn/sc_2 inception_4b/pool_proj/bn/sc_internal_1, inception_4b/3x3/bn/sc_2 inception_4b/pool_proj/bn/sc_1 inception_4b/double3x3b/bn/sc_2 inception_4b/1x1/bn/sc_2
